JudgeID,JudgeName,Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
,CHRIS THEIS,California Round Robin,HS,2025-02-13,LD RR,4 R4,Los Altos AK,Head-Royce AJ,Neg,
,CHRIS THEIS,California Round Robin,HS,2025-02-13,LD RR,4 R4,Archbishop Mitty AP,Isidore Newman AB,Neg,
,CHRIS THEIS,California Round Robin,HS,2025-02-13,LD RR,3 R3,Newark Science AL,Peninsula AL,Aff,Aff 2-0
,CHRIS THEIS,California Round Robin,HS,2025-02-13,LD RR,2 R2,Harvard-Westlake KM,Flower Mound AM,Aff,Aff 2-0
,CHRIS THEIS,California Round Robin,HS,2025-02-13,LD RR,1 R1,Head-Royce AJ,Newark Science AL,Neg,Neg 2-0
,CHRIS THEIS,California Round Robin,HS,2025-02-13,LD RR,1 R1,Flower Mound AM,Archbishop Mitty AP,Aff,
,CHRIS THEIS,Barkley Forum for High Schools,HS,2025-01-24,LD,11 MD,Greenhill SK,Westlake MR,Aff,Aff 2-1
,CHRIS THEIS,Barkley Forum for High Schools,HS,2025-01-24,LD,9 RKR,Isidore Newman AB,Lynbrook VV,Neg,Neg 3-0
,CHRIS THEIS,Barkley Forum for High Schools,HS,2025-01-24,LD,8 WAU,Lynbrook BZ,Westlake MR,Neg,Neg 3-0
,CHRIS THEIS,Barkley Forum for High Schools,HS,2025-01-24,LD,7 Triple,Vestavia Hills MH,Isidore Newman AB,Aff,Neg 2-1
,CHRIS THEIS,Barkley Forum for High Schools,HS,2025-01-24,LD,6 R6,Peninsula AY,Harker NB,Aff,
,CHRIS THEIS,Barkley Forum for High Schools,HS,2025-01-24,LD,5 R5,Brophy TJ,ADL VK,Aff,
,CHRIS THEIS,Harvard Westlake Debates,HS,2025-01-16,RR,7 R7,Harker SY,Peninsula SU,Aff,
,CHRIS THEIS,Harvard Westlake Debates,HS,2025-01-16,RR,6 R6,Immaculate Heart ES,Harker SS,Neg,Neg 2-0
,CHRIS THEIS,Harvard Westlake Debates,HS,2025-01-16,RR,4 R4,Lynbrook BZ,Harvard-Westlake JT,Aff,Aff 2-0
,CHRIS THEIS,Harvard Westlake Debates,HS,2025-01-16,RR,3 R3,Harker SY,Loyola RV,Aff,Aff 2-0
,CHRIS THEIS,Harvard Westlake Debates,HS,2025-01-16,RR,2 R2,Harvard-Westlake AS,Harker SY,Aff,Aff 2-0
,CHRIS THEIS,Harvard Westlake Debates,HS,2025-01-16,RR,1 R1,Immaculate Heart NH,Harvard-Westlake AS,Aff,
,CHRIS THEIS,Heart of Texas Invitational,HS,2024-10-25,VLD,7 Double,Harker SS,Northland Christian AH,Aff,Aff 3-0
,CHRIS THEIS,Heart of Texas Invitational,HS,2024-10-25,VLD,6 R6,Harker SD,Village SZ,Neg,
,CHRIS THEIS,Heart of Texas Invitational,HS,2024-10-25,VLD,6 R6,Harker RA,Barrington AC,Aff,
,CHRIS THEIS,Heart of Texas Invitational,HS,2024-10-25,VLD,5 R5,Vestavia Hills MH,Harker SSe,Neg,
,CHRIS THEIS,Heart of Texas Invitational,HS,2024-10-25,VLD,5 R5,Lawrenceville MM,Memorial EJ,Neg,
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD,9 Quarte,Lynbrook OM,Peninsula AL,Aff,Aff 3-0
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD,8 Octafi,Peninsula SU,Memorial DX,Aff,Neg 2-1
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD RR,7 R7,Garland LA,Carnegie Vanguard LH,Neg,
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD,7 Double,Lynbrook BZ,Los Altos AK,Neg,Neg 3-0
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD,7 Double,Isidore Newman AB,Lynbrook OM,Neg,Neg 3-0
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD RR,6 R6,Newark Science AL,Isidore Newman AB,Neg,Neg 2-0
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD,4 R4,Harvard-Westlake JW,Barrington AC,Neg,
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD,4 R4,Peninsula AY,Winston Churchill PH,Aff,
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD,3 R3,Westwood SM,Lynbrook NM,Neg,
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD,3 R3,Immaculate Heart NH,Isidore Newman AB,Neg,
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD RR,2 R2,Harvard-Westlake WL,Harrison RP,Aff,Aff 2-0
,CHRIS THEIS,Greenhill Fall Classic,HS,2024-09-19,LD RR,1 R1,Greenhill AK,L C Anderson NW,Aff,
,CHRIS THEIS,52nd Annual Tournament of Champions,HS,2024-04-20,LD,10 Semis,Los Altos AK,Strake Jesuit JW,Neg,Neg 3-0
,CHRIS THEIS,52nd Annual Tournament of Champions,HS,2024-04-20,LD,7 Dbls,Horace Greeley SG,Monta Vista EY,Neg,Neg 2-1
,CHRIS THEIS,52nd Annual Tournament of Champions,HS,2024-04-20,LD,6 R6,Isidore Newman AB,Immaculate Heart AW,Neg,
,CHRIS THEIS,52nd Annual Tournament of Champions,HS,2024-04-20,LD,3 R3,Monta Vista KR,Peninsula AB,Neg,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2024-04-13,LD,7 Dbls,Monta Vista KR,Interlake JP,Aff,Aff 2-1
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2024-04-13,LD,6 R6,Immaculate Heart AW,Harker SSe,Aff,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2024-04-13,LD,6 R6,Monta Vista KR,Harker SD,Neg,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2024-04-13,LD,5 R5,Peninsula AB,Harker AA,Aff,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2024-04-13,LD,5 R5,Peninsula AL,Immaculate Heart SS,Neg,
,CHRIS THEIS,Cal Invitational UC Berkeley,HS,2024-02-17,VLD,10 Quarte,Harvard-Westlake WL,Honor VD,Aff,Aff 3-0
,CHRIS THEIS,Cal Invitational UC Berkeley,HS,2024-02-17,VLD,9 Octas,Los Altos AK,Harker KB,Aff,Aff 3-0
,CHRIS THEIS,Cal Invitational UC Berkeley,HS,2024-02-17,VLD,8 Double,Peninsula SU,Harvard-Westlake WL,Neg,Neg 3-0
