JudgeID,JudgeName,Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
,MAYA JEN,Harvard Westlake Debates,HS,2025-01-16,VLD,6 R6,Immaculate Heart MD,Harker VL,Neg,
,MAYA JEN,Harvard Westlake Debates,HS,2025-01-16,VLD,6 R6,Riverside Independent SH,Palisades Charter SM,Aff,
,MAYA JEN,Harvard Westlake Debates,HS,2025-01-16,VLD,5 R5,Peninsula WW,Immaculate Heart HY,Neg,
,MAYA JEN,Harvard Westlake Debates,HS,2025-01-16,VLD,5 R5,Harker LL,Los Altos NM,Neg,
,MAYA JEN,Harvard Westlake Debates,HS,2025-01-16,RR,5 R5,Immaculate Heart NH,Harker SY,Aff,
,MAYA JEN,Harvard Westlake Debates,HS,2025-01-16,RR,4 R4,Loyola TG,Immaculate Heart ES,Aff,
,MAYA JEN,Harvard Westlake Debates,HS,2025-01-16,RR,3 R3,Immaculate Heart NH,Peninsula SU,Neg,
,MAYA JEN,Harvard Westlake Debates,HS,2025-01-16,RR,2 R2,Immaculate Heart ES,Lynbrook BZ,Neg,Neg 2-0
,MAYA JEN,Harvard Westlake Debates,HS,2025-01-16,RR,1 R1,Harvard-Westlake JT,Peninsula BS,Aff,
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,8 Octo,Harvard-Westlake JT,Lynbrook BZ,Neg,Neg 3-0
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,8 Octo,BASIS Silicon Valley VP,Immaculate Heart ES,Neg,Neg 2-1
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,7 Doub,Riverside Independent SH,Loyola TH,Aff,Aff 3-0
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,6 R6,ModernBrain ES,Loyola JG,Neg,
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,6 R6,Clear Lake MK,Loyola EM,Aff,
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,5 R5,OC Policy Association JS,Clear Lake CW,Neg,
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,5 R5,Loyola ED,ModernBrain ES,Neg,
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,4 R4,BASIS Silicon Valley VP,Harvard-Westlake JW,Aff,
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,4 R4,Harvard-Westlake EG,Sharks Independent WL,Neg,
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,3 R3,Riverside Independent SH,Harvard-Westlake EG,Aff,
,MAYA JEN,Peninsula Invitational,MS,2025-01-11,O LD,3 R3,Immaculate Heart AE,Geffen Academy of UCLA JP,Aff,
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,2 R2,Loyola EM,Immaculate Heart CM,Aff,
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,2 R2,Immaculate Heart CJ,Loyola RV,Neg,
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,1 R1,Loyola TG,Lynbrook BZ,Neg,
,MAYA JEN,Peninsula Invitational,HS,2025-01-11,O LD,1 R1,Harvard-Westlake JT,Loyola AK,Aff,
,MAYA JEN,Damus Hollywood Invitational,HS,2024-11-09,VLD,7 Double,Harvard-Westlake AS,Peninsula DN,Neg,Neg 2-1
,MAYA JEN,Damus Hollywood Invitational,HS,2024-11-09,VLD,5 R5,Harvard-Westlake KM,Peninsula AY,Aff,
,MAYA JEN,Damus Hollywood Invitational,HS,2024-11-09,VLD,5 R5,Harvard-Westlake AM,Peninsula SU,Neg,
,MAYA JEN,Damus Hollywood Invitational,HS,2024-11-09,VLD,3 R3,Immaculate Heart BS,Loyola AK,Aff,
,MAYA JEN,Damus Hollywood Invitational,HS,2024-11-09,VLD,3 R3,Peninsula BS,Valley Christian CL,Aff,
,MAYA JEN,Damus Hollywood Invitational,HS,2024-11-09,VLD,2 R2,Loyola RV,Immaculate Heart CM,Aff,
,MAYA JEN,Damus Hollywood Invitational,HS,2024-11-09,VLD,1 R1,Peninsula AI,Immaculate Heart MF,Neg,
,MAYA JEN,Marlborough Middle School and Novice Invitational,HS,2023-03-04,MS PF,2 2,Harker NS,Honor QD,Aff,
